비고,시군구,운영기관,이용가능시간,이용자 제한,주소,지역,충전기타입,충전소,충전소별 충전기연번
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구 알파시티1로 160저소득층 밀집지구 지식산업센터","대구광역시","DC차데모+AC3상+DC콤보","대구시_저소득층 밀집지구 지식산업센터",1
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 구지면 국가산단서로 201","대구광역시","DC차데모+AC3상+DC콤보","대구시_지능형자동차부품진흥원",1
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 구지면 국가산단서로 201","대구광역시","DC차데모+AC3상+DC콤보","대구시_지능형자동차부품진흥원",2
"","수성구","대구환경공단","09:00~18:00","","대구광역시 수성구 용학로33길 9대구시_지산2동","대구광역시","DC차데모+AC3상+DC콤보","대구시_지산2동",1
"","동구","대구환경공단","09:00~18:00","","대구광역시 동구 해동로3길 80대구시_지저동","대구광역시","DC차데모+AC3상+DC콤보","대구시_지저동",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 상화로8길 23","대구광역시","DC차데모+AC3상+DC콤보","대구시_진천삼성래미안",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 상화로8길 23","대구광역시","AC완속","대구시_진천삼성래미안",2
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 상화로8길 23","대구광역시","AC완속","대구시_진천삼성래미안",3
"","북구","대구환경공단","09:00~18:00","","대구광역시 북구 칠성로19길 4대구시_칠성동","대구광역시","DC차데모+AC3상+DC콤보","대구시_칠성동",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 옥산로 103","대구광역시","DC차데모+AC3상+DC콤보","대구시_침산푸르지오",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 옥산로 103","대구광역시","AC완속","대구시_침산푸르지오",2
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 옥산로 103","대구광역시","AC완속","대구시_침산푸르지오",3
"","북구","대구환경공단","09:00~18:00","","대구광역시 북구 칠곡중앙대로52길 32대구시_태전2동","대구광역시","DC차데모+AC3상+DC콤보","대구시_태전2동",1
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 화원읍 성천로 208한국도로공사(유천IC)","대구광역시","DC차데모+AC3상+DC콤보","대구시_한국도로공사(유천IC)",1
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 화원읍 성천로 208한국도로공사(유천IC)","대구광역시","DC차데모+AC3상+DC콤보","대구시_한국도로공사(유천IC)",2
"","동구","대구환경공단","09:00~18:00","","대구광역시 동구 화랑로25길 45대구시_효목2동","대구광역시","DC차데모+AC3상+DC콤보","대구시_효목2동",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 고성로 191대구시민운동장(고성동3가 2)","대구광역시","DC콤보","대구시민운동장",1
"","중구","대구환경공단","24시간","","대구광역시 중구 공평로 88(중구 동인동1가 42767)","대구광역시","DC차데모+AC3상+DC콤보","대구시청",1
"","중구","대구환경공단","24시간","","대구광역시 중구 공평로 88(중구 동인동1가 42767)","대구광역시","AC완속","대구시청",2
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 구마로180 (주차장 입구 우측)","대구광역시","DC차데모+AC3상+DC콤보","대구은행 본리동지점",1
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구 달구벌대로3196 (주차장 입구)","대구광역시","DC차데모+AC3상+DC콤보","대구은행 시지지점",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 옥산로111 (지하 1층)","대구광역시","DC차데모+AC3상+DC콤보","대구은행 제2본점영업부",1
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구 수성로5 (입구 좌측)","대구광역시","DC차데모+AC3상+DC콤보","대구은행 파동지점",1
"","서구","대구환경공단","24시간","","대구광역시 서구 평리로 157(서구 중리동 1162)","대구광역시","DC차데모+AC3상+DC콤보","대구의료원",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 동대구로 481건물앞 도로변","대구광역시","AC완속","대구지식서비스센터",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 동대구로 481건물앞 도로변","대구광역시","AC완속","대구지식서비스센터",2
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 대구체육관로39 (주차장 입구 자율방범대 건물앞)","대구광역시","DC차데모+AC3상+DC콤보","대구체육관 주차장",1
"","서구","대구환경공단","24시간 이용가능","","대구광역시 서구 염색공단로 130 (입구 좌측)(서구 비산동 3016 (입구 좌측))","대구광역시","DC차데모+AC3상+DC콤보","대구환경공단(달서천)",1
"","서구","대구환경공단","24시간 이용가능","","대구광역시 서구 염색공단로 130 (입구 좌측)(서구 비산동 3016 (입구 좌측))","대구광역시","AC완속","대구환경공단(달서천)",2
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 달서대로210 (입구 좌측)(달서구 대천동 770 (입구 좌측))","대구광역시","DC차데모+AC3상+DC콤보","대구환경공단(본부)",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 달서대로210 (입구 좌측)(달서구 대천동 770 (입구 좌측))","대구광역시","AC완속","대구환경공단(본부)",2
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구 무학로 112 (입구 좌측)(수성구 두산동 499-4 (입구 좌측))","대구광역시","DC차데모+AC3상+DC콤보","대구환경공단(지산)-두산동 행정복지센터",1
"","달서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달서구 앞산순환로 206대덕승마장(송현동 694)","대구광역시","DC차데모+AC3상+DC콤보","대덕승마장",1
"","남구","대구환경공단","24시간 이용가능","","대구광역시 남구 대명로58길11 (건물 앞)","대구광역시","DC차데모+AC3상+DC콤보","대명5동 행정복지센터",1
"","남구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 남구 큰골길 53대명9동행정복지센터(2680-7 대명9동주민센터)","대구광역시","AC완속","대명9동행정복지센터",1
"","달서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달서구 한실로 53도원동행정복지센터(1429-5 도원동행정복지센터)","대구광역시","AC완속","도원동행정복지센터",1
"","동구","대구환경공단","24시간","","대구광역시 동구 아양로 207(동구 신암동 13150)","대구광역시","DC차데모+AC3상+DC콤보","동구청",1
"","동구","대구환경공단","24시간","","대구광역시 동구 아양로 207(동구 신암동 13150)","대구광역시","AC완속","동구청",2
"","동구","대구환경공단","24시간","","대구광역시 동구 동부로 153별관2층(D15-18)(동구 신천동 329-19)","대구광역시","DC차데모+AC3상+DC콤보","동대구복합환승센터",1
"","동구","대구환경공단","24시간","","대구광역시 동구 동부로 153별관2층(D15-18)(동구 신천동 329-19)","대구광역시","AC완속","동대구복합환승센터",2
